id,category,subcategory,difficulty,statement,is_correct,explanation,source_type,source_title,source_url,source_checked_on,status,duplicate_group,review_notes,app_ready
P3-001,part3,飛行計画・地理確認,中級,飛行計画の作成にあたっては、飛行経路周辺の地理的状況（高圧線、鉄道、人口密集地など）を事前に調査する必要がある。,true,航空法および安全運航の基本として、飛行前の地理的リスク確認は必須である。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_001,既存問題。,yes
P3-002,part3,リスクアセスメント・立入管理,中級,リスクアセスメントとは、想定される危険（ハザード）を特定し、その発生頻度と被害の大きさを評価して、対策を講じるプロセスのことである。,true,特定飛行における安全確保の基本概念である。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_002,既存問題。,yes
P3-003,part3,リスクアセスメント・立入管理,中級,カテゴリーII飛行を行う際、飛行経路下に第三者が立ち入る可能性がある場合は、立入管理措置を講じなければならない。,true,第三者上空を飛行しないことが前提となる。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_003,既存問題。,yes
P3-004,part3,飛行計画・地理確認,中級,飛行経路の設定において、緊急着陸地点をあらかじめ設定しておくことは、必須ではないが推奨される。,true,法令上の明示義務ではないが、安全管理上は強く推奨されている。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_004,既存問題。,yes
P3-005,part3,補助者・教育訓練,中級,目視外飛行を行う場合、補助者を配置し、操縦者と常時連絡が取れる体制であれば、一人の操縦者で行うことができる。,true,補助者との連携は目視外飛行の基本要件である。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_005,既存問題。,yes
P3-006,part3,補助者・教育訓練,中級,自動操縦で飛行する場合、操縦者は送信機を手放してもよい。,false,不自動操縦中でも即時に手動介入できる体制が必要である。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_006,既存問題。,yes
P3-007,part3,飛行計画・地理確認,中級,日没を過ぎる可能性がある飛行では、夜間飛行の承認と灯火装備が必要である。,true,昼間飛行に限定される条件を超えるためである。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_007,既存問題。,yes
P3-008,part3,気象判断,中級,風速が5m/sを超える場合は、原則として飛行中止や場所変更などの判断が求められる。,true,多くの機体メーカーの安全基準でも注意域に該当する。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_008,既存問題。,yes
P3-009,part3,飛行計画・地理確認,中級,DIPSへの飛行計画通報は、特定飛行を行う場合に義務付けられている。,true,特定飛行では飛行計画通報が法的義務となる。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_009,既存問題。,yes
P3-010,part3,リスクアセスメント・立入管理,中級,イベント上空の飛行では、観客の真上を避ける飛行経路を選定する。,true,リスク低減の基本原則である。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_010,既存問題。,yes
P3-011,part3,気象判断,初級,標準大気圧は約1013hPaである。,true,高度が上がるにつれて気圧は低下する。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_011,既存問題。,yes
P3-012,part3,気象判断,初級,風は気圧の高い方から低い方へ吹く。,true,気圧差による空気の移動である。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_012,既存問題。,yes
P3-013,part3,気象判断,中級,上昇気流のある場所では、機体が持ち上げられ下降しにくくなることがある。,true,着陸時は特に注意が必要である。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_013,既存問題。,yes
P3-014,part3,気象判断,中級,ダウンバーストは、積乱雲からの冷気下降により発生する強風現象である。,true,小型無人機にとって極めて危険な気象現象である。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_014,既存問題。,yes
P3-015,part3,気象判断,初級,海風は日中に海から陸へ向かって吹く。,true,夜間は陸風となる。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_015,既存問題。,yes
P3-016,part3,気象判断,初級,夜間に山から谷へ吹く風を山風という。,true,日中は谷風となる。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_016,既存問題。,yes
P3-017,part3,気象判断,中級,高層建築物の周辺ではビル風が発生しやすい。,true,乱流による機体制御困難に注意が必要である。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_017,既存問題。,yes
P3-018,part3,気象判断,中級,寒冷環境では空気密度が高くなり、揚力は増加する。,true,ただしバッテリー性能低下に留意する必要がある。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_018,既存問題。,yes
P3-019,part3,気象判断,初級,防水性能のない機体でも小雨なら飛行してよい。,false,不雨水は電子部品の故障原因となる。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_019,既存問題。,yes
P3-020,part3,緊急時対応・事故対応,中級,GNSS信号をロストすると位置保持ができなくなる機体が多い。,true,手動による姿勢制御が必要となる。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_020,既存問題。,yes
P3-021,part3,緊急時対応・事故対応,中級,クアッドコプターでモーターが1基停止した場合、墜落する可能性が高い。,true,冗長性がない構成のためである。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_021,既存問題。,yes
P3-022,part3,緊急時対応・事故対応,上級,第三者への危険回避のため、安全な場所に意図的に墜落させる判断が必要となる場合がある。,true,被害最小化の判断は操縦者の責務である。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_022,既存問題。,yes
P3-023,part3,緊急時対応・事故対応,中級,第三者の私有地に不時着した場合、無断で立ち入って回収してよい。,false,不所有者の許可が必要である。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_023,既存問題。,yes
P3-024,part3,緊急時対応・事故対応,中級,鳥が接近した場合、追い払うために急上昇するのがよい。,false,不攻撃を誘発する恐れがあるため速やかに離脱・着陸する。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_024,既存問題。,yes
P3-025,part3,気象判断,中級,雷雲接近時、カーボン製機体であれば安全である。,false,不カーボンは導電性があり非常に危険である。,authoring_seed,既存問題移管,,2026-05-19,approved,part3_seed_025,既存問題。,yes
