id,category,subcategory,difficulty,statement,is_correct,explanation,source_type,source_title,source_url,source_checked_on,status,duplicate_group,review_notes,app_ready
P4-001,part4,4分力・飛行原理,初級,航空機に働く4つの力とは、「揚力」「重力」「推力」および「抗力」である。,true,飛行中の航空機には常にこれら4つの力が作用し、その釣り合いで飛行状態が決まる。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_001,既存問題。,yes
P4-002,part4,4分力・飛行原理,初級,ベルヌーイの定理によれば、流体の速度が速いところほど、その圧力は「高く」なる。,false,不流速が速いほど圧力は低くなる。翼上面の圧力低下が揚力発生の一因となる。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_002,既存問題。,yes
P4-003,part4,4分力・飛行原理,初級,マルチコプターがホバリングしているとき、揚力は重力と釣り合っている。,true,上下の力が等しいため高度が維持される。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_003,既存問題。,yes
P4-004,part4,4分力・飛行原理,中級,旋回のために機体を傾けると、揚力の垂直成分が減るため、高度維持には推力を増す必要がある。,true,揚力の一部が横方向の力に使われるためである。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_004,既存問題。,yes
P4-005,part4,4分力・飛行原理,中級,失速とは、迎角を大きくしすぎて気流が剥離し、揚力が急減する現象である。,true,固定翼機で顕著だが、プロペラ翼でも過負荷時に類似現象が起こる。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_005,既存問題。,yes
P4-006,part4,4分力・飛行原理,中級,地面効果とは、地面付近では通常より少ない推力で浮上できる現象である。,true,吹き下ろし気流が拡散しにくくなるためである。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_006,既存問題。,yes
P4-007,part4,4分力・飛行原理,初級,空気抵抗は飛行速度の2乗に比例して増加する。,true,速度2倍で抗力は約4倍となる。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_007,既存問題。,yes
P4-008,part4,4分力・飛行原理,中級,重心位置が後方にある機体は、前進飛行のために大きなピッチダウン操作が必要となる。,true,機首が上がりやすく前進しにくくなる。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_008,既存問題。,yes
P4-009,part4,4分力・飛行原理,初級,プロペラの回転数が上がると、空気抵抗は減少する。,false,不回転数が上がるほど空気抵抗と負荷は増加する。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_009,既存問題。,yes
P4-010,part4,4分力・飛行原理,中級,高高度では空気密度が低下するため、同じ揚力にはより高い回転数が必要となる。,true,高地では推力余裕が減少する。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_010,既存問題。,yes
P4-011,part4,前線・雲・霧,中級,寒冷前線通過時には、突風や雷雨を伴うことが多い。,true,急激な上昇気流により積乱雲が発達する。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_011,既存問題。,yes
P4-012,part4,前線・雲・霧,中級,温暖前線通過後は、気温が下がり北寄りの風になる。,false,不温暖前線通過後は気温が上がり、南寄りの風になる。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_012,既存問題。,yes
P4-013,part4,前線・雲・霧,中級,上空が寒冷で地表が暖かい状態は、大気が不安定である。,true,対流が起こりやすく積乱雲が発達しやすい。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_013,既存問題。,yes
P4-014,part4,前線・雲・霧,中級,放射霧は、晴れて風の弱い夜間に発生しやすい。,true,放射冷却によって地表付近が冷やされるためである。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_014,既存問題。,yes
P4-015,part4,前線・雲・霧,中級,移流霧は、暖かく湿った空気が冷たい地表を移動して発生する。,true,海霧として知られ、消えにくい。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_015,既存問題。,yes
P4-016,part4,前線・雲・霧,中級,積乱雲下では強い下降気流が発生することがある。,true,ダウンバーストは非常に危険である。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_016,既存問題。,yes
P4-017,part4,速度・単位換算,中級,向かい風10m/s、対気速度10m/sの場合、対地速度は20m/sである。,false,不風と打ち消し合い対地速度は0m/sである。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_017,既存問題。,yes
P4-018,part4,速度・単位換算,初級,秒速10mは時速36kmである。,true,秒速×3.6で換算できる。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_018,既存問題。,yes
P4-019,part4,バッテリー・電気計算,中級,4000mAhのバッテリーから20A流した場合、理論飛行時間は12分である。,true,4Ah ÷ 20A = 0.2時間。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_019,既存問題。,yes
P4-020,part4,速度・単位換算,初級,対気速度とは地上に対する実際の移動速度である。,false,不それは対地速度である。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_020,既存問題。,yes
P4-021,part4,バッテリー・電気計算,初級,LiPo電池の3.8V表示は、ほぼ空の状態である。,false,不3.8Vは保管電圧付近である。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_021,既存問題。,yes
P4-022,part4,安全工学・運動力学,中級,最大離陸重量25kg以上の無人航空機は、規制が厳しくなる。,true,日本では大型無人機として扱われる。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_022,既存問題。,yes
P4-023,part4,GNSS・電波・通信,中級,フレネルゾーンは高周波ほど必要半径が小さくなる。,true,5.8GHzは2.4GHzより狭い。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_023,既存問題。,yes
P4-024,part4,GNSS・電波・通信,中級,GNSSのマルチパス誤差は、衛星配置の悪さが原因である。,false,不反射波が原因である。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_024,既存問題。,yes
P4-025,part4,安全工学・運動力学,中級,推力限界ギリギリでの運用が最も効率的である。,false,不安全余裕を持った運用が必要である。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_025,既存問題。,yes
P4-026,part4,風・地形影響,中級,フェーン現象では、山越え後に高温乾燥となる。,true,火災リスクが高まる。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_026,既存問題。,yes
P4-027,part4,風・地形影響,初級,等圧線の間隔が狭いほど風は弱い。,false,不間隔が狭いほど風は強い。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_027,既存問題。,yes
P4-028,part4,速度・単位換算,初級,雷光の10秒後に雷鳴が聞こえた場合、距離は約3.4kmである。,true,音速約340m/sで計算する。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_028,既存問題。,yes
P4-029,part4,風・地形影響,初級,海陸風の無風状態を凪という。,true,朝凪・夕凪がある。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_029,既存問題。,yes
P4-030,part4,気圧・高度・大気,初級,標高100m上昇で気温は約0.6℃低下する。,true,気温減率の基礎である。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_030,既存問題。,yes
P4-031,part4,安全工学・運動力学,中級,ハイドロプレーニングは、濡れた滑走面で制動力を失う現象である。,true,着陸時に注意が必要である。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_031,既存問題。,yes
P4-032,part4,安全工学・運動力学,初級,質量が大きい機体ほど慣性が大きい。,true,止まりにくくなる。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_032,既存問題。,yes
P4-033,part4,バッテリー・電気計算,中級,低温環境ではLiPo電池の電圧降下が起きやすい。,true,内部抵抗が増加する。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_033,既存問題。,yes
P4-034,part4,バッテリー・電気計算,初級,WhはV×Ahで求められる。,true,機内持ち込み制限の計算に使う。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_034,既存問題。,yes
P4-035,part4,飛行制御・操縦設定,中級,EXPO設定は中心付近の感度を鈍くする目的で使われる。,true,操作安定性が向上する。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_035,既存問題。,yes
P4-036,part4,飛行制御・操縦設定,中級,ゲインを上げすぎるとハンチングが発生する。,true,過剰制御が原因である。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_036,既存問題。,yes
P4-037,part4,GNSS・電波・通信,中級,GPS電波は水中でも十分届く。,false,不水中では急激に減衰する。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_037,既存問題。,yes
P4-038,part4,前線・雲・霧,初級,雲量9以上は曇りとされる。,true,気象庁の基準である。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_038,既存問題。,yes
P4-039,part4,前線・雲・霧,中級,煙が多いと夕焼けが赤く見えるのはレイリー散乱による。,true,短波長光が散乱される。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_039,既存問題。,yes
P4-040,part4,速度・単位換算,中級,散布幅5m、速度15km/hの場合、1分あたり12.5アール散布できる。,true,250m×5m=1250㎡。,authoring_seed,既存問題移管,,2026-05-19,approved,part4_seed_040,既存問題。,yes
