id,category,subcategory,difficulty,statement,is_correct,explanation,source_type,source_title,source_url,source_checked_on,status,duplicate_group,review_notes,app_ready
P2-001,part2,飛行原理・姿勢制御,初級,マルチコプターが上昇するためには、すべてのプロペラの回転数を同時に上げ、総揚力が機体重量を上回る必要がある。,true,姿勢を維持したまま垂直上昇するには、各モーターの出力を概ね均等に上げ、総揚力を重力より大きくする必要がある。,authoring_seed,既存問題移管,"",2026-05-19,approved,mc_climb_001,既存問題。,yes
P2-002,part2,飛行原理・姿勢制御,初級,マルチコプターが下降する際は、すべてのプロペラの回転数を下げ、総揚力を機体重量より小さくする。,true,総揚力が重力を下回ることで降下が始まる。,authoring_seed,既存問題移管,"",2026-05-19,approved,mc_descent_001,既存問題。,yes
P2-003,part2,飛行原理・姿勢制御,初級,マルチコプターの前進飛行は、機体を前傾させ、揚力の一部を前進方向の推力として利用することで行われる。,true,機体を前傾させることで揚力ベクトルの一部が水平方向へ向き、前進力が生じる。,authoring_seed,既存問題移管,"",2026-05-19,approved,mc_forward_001,既存問題。,yes
P2-004,part2,飛行原理・姿勢制御,初級,マルチコプターのロール操作は、左右のプロペラの回転数差によって行われる。,true,左右の揚力差によって機体が横方向に傾く。,authoring_seed,既存問題移管,"",2026-05-19,approved,roll_001,既存問題。,yes
P2-005,part2,飛行原理・姿勢制御,初級,マルチコプターのピッチ操作は、前後のプロペラの回転数差によって行われる。,true,前後の揚力差によって機首上げ・機首下げが生じる。,authoring_seed,既存問題移管,"",2026-05-19,approved,pitch_001,既存問題。,yes
P2-006,part2,飛行原理・姿勢制御,中級,マルチコプターのヨー制御は、回転方向の異なるプロペラ群の回転数差による反トルクを利用して行われる。,true,時計回り群と反時計回り群の反トルク差を作ることでヨー回転を発生させる。,authoring_seed,既存問題移管,"",2026-05-19,approved,yaw_001,既存問題。,yes
P2-007,part2,機体種類・構造,初級,固定翼機は、揚力を翼で得るため、マルチコプターに比べてエネルギー効率が高い。,true,固定翼機は前進しながら翼で揚力を得るため、一般に長距離・長時間飛行に向く。,authoring_seed,既存問題移管,"",2026-05-19,approved,fixedwing_efficiency_001,既存問題。,yes
P2-008,part2,機体種類・構造,初級,固定翼機は、ホバリング（空中停止）が可能である。,false,通常の固定翼機は前進気流が必要であり、マルチコプターのようなホバリングはできない。,authoring_seed,既存問題移管,"",2026-05-19,approved,fixedwing_hover_001,既存問題。,yes
P2-009,part2,推進系・プロペラ,初級,プロペラの直径が大きくなると、一般に揚力は増加する。,true,同じ条件なら、空気を押す面積が大きくなるため推力・揚力を得やすい。,authoring_seed,既存問題移管,"",2026-05-19,approved,prop_diameter_001,既存問題。,yes
P2-010,part2,推進系・プロペラ,初級,プロペラのピッチとは、理論上プロペラが1回転した際に進む距離を表す。,true,ピッチは理論前進距離を示し、一般に大きいほど高速向きの特性を持つ。,authoring_seed,既存問題移管,"",2026-05-19,approved,prop_pitch_001,既存問題。,yes
P2-011,part2,推進系・プロペラ,初級,ブラシレスモーターは、ブラシ付きモーターに比べて効率が良く、寿命が長い。,true,ブラシ摩耗がなく、一般に高効率で保守性も高い。,authoring_seed,既存問題移管,"",2026-05-19,approved,brushless_001,既存問題。,yes
